,日期,自營商,投信,外資,資餘,資增減,券餘,券增減,使用率,券資比,資券抵,開盤價,最高價,最低價,收盤價,漲跌,漲%,成交量,成交金額,本益比
44,107/04/16,0,198,0,12,2 3,0,0 3,0.30%,0.00%,0,14.72,14.78,14.7,14.78,0.09,0.61%,226,3330,0
45,107/04/16,0,198,0,12,2 5,0,0 8,0.30%,0.00%,0,14.72,14.78,14.7,14.78,0.09,0.61%,226,3330,0
48,107/04/13,0,3,0,10,0 8,0,0 8,0.25%,0.00%,0,14.68,14.71,14.67,14.69,0.14,0.96%,17,250,0
49,107/04/13,0,3,0,10,0 1,0,0 6,0.25%,0.00%,0,14.68,14.71,14.67,14.69,0.14,0.96%,17,250,0
52,107/04/12,0,0,0,10,0 6,0,0 10,0.29%,0.00%,0,14.6,14.61,14.53,14.55,-0.07,-0.48%,44,640,0
53,107/04/12,0,0,0,10,0 5,0,0 3,0.29%,0.00%,0,14.6,14.61,14.53,14.55,-0.07,-0.48%,44,640,0
56,107/04/11,0,143,0,10,0 9,0,0 2,0.28%,0.00%,0,14.56,14.69,14.56,14.62,0.05,0.34%,176,2566,0
57,107/04/11,0,143,0,10,0 6,0,0 6,0.28%,0.00%,0,14.56,14.69,14.56,14.62,0.05,0.34%,176,2566,0
60,107/04/10,0,81,0,10,0 7,0,0 10,0.28%,0.00%,0,14.63,14.63,14.57,14.57,0.01,0.07%,152,2217,0
61,107/04/10,0,81,0,10,0 3,0,0 3,0.28%,0.00%,0,14.63,14.63,14.57,14.57,0.01,0.07%,152,2217,0
64,107/04/09,0,24,0,10,0 2,0,0 5,0.28%,0.00%,0,14.6,14.69,14.52,14.56,0.0,0.00%,31,451,0
65,107/04/09,0,24,0,10,0 8,0,0 8,0.28%,0.00%,0,14.6,14.69,14.52,14.56,0.0,0.00%,31,451,0
68,107/04/03,0,17,0,10,-3 6,0,0 10,0.28%,0.00%,0,14.59,14.59,14.56,14.56,-0.16,-1.09%,26,379,0
69,107/04/02,0,14,0,13,-13 9,0,0 2,0.36%,0.00%,0,14.87,14.87,14.72,14.72,-0.25,-1.67%,36,533,0
70,107/03/31,0,-41,0,26,9 7,0,0 5,0.72%,0.00%,0,15.01,15.01,14.96,14.97,0.02,0.13%,47,704,0
71,107/03/30,0,-8,0,17,2 6,0,0 3,0.53%,0.00%,0,16.22,16.22,14.9,14.95,0.2,1.36%,36,562,0
72,107/03/29,0,44,0,15,0 3,0,0 8,0.46%,0.00%,0,14.8,14.8,14.67,14.75,0.13,0.89%,45,664,0
73,107/03/28,0,24,0,15,0 0,0,0 8,0.46%,0.00%,0,14.77,14.77,14.62,14.62,-0.15,-1.02%,346,5065,0
74,107/03/27,0,0,0,15,3 8,0,0 7,0.46%,0.00%,0,14.77,14.88,14.77,14.77,0.23,1.58%,12,178,0
75,107/03/26,0,60,0,12,6 0,0,0 4,0.37%,0.00%,0,14.16,14.58,14.16,14.54,0.09,0.62%,103,1494,0
76,107/03/23,0,-23,0,6,0 9,0,0 8,0.19%,0.00%,0,14.47,14.54,14.42,14.45,-0.4,-2.69%,83,1202,0
77,107/03/22,0,10,0,6,0 4,0,0 10,0.19%,0.00%,0,15.01,15.01,14.85,14.85,-0.08,-0.54%,46,687,0
78,107/03/21,0,18,0,6,0 9,0,0 1,0.19%,0.00%,0,15.0,15.0,14.9,14.93,0.08,0.54%,50,747,0
79,107/03/20,0,6,0,6,0 9,0,0 4,0.18%,0.00%,0,14.95,14.95,14.8,14.85,-0.23,-1.53%,42,623,0
80,107/03/19,0,92,0,6,0 5,0,0 8,0.18%,0.00%,0,15.0,15.08,15.0,15.08,0.13,0.87%,94,1416,0
81,107/03/16,0,102,0,6,0 1,0,0 6,0.18%,0.00%,0,14.98,14.98,14.9,14.95,0.0,0.00%,199,2975,0
82,107/03/15,0,98,0,6,0 5,0,0 3,0.18%,0.00%,0,14.9,14.95,14.88,14.95,0.0,0.00%,107,1596,0
83,107/03/14,0,9,0,6,0 6,0,0 6,0.18%,0.00%,0,14.89,14.96,14.89,14.95,0.02,0.13%,60,895,0
84,107/03/13,0,14,0,6,0 3,0,0 3,0.18%,0.00%,0,14.84,14.98,14.84,14.93,0.23,1.56%,25,373,0
85,107/03/12,0,29,0,6,0 8,0,0 8,0.18%,0.00%,0,14.5,14.75,14.5,14.7,0.26,1.80%,33,484,0
86,107/03/09,0,6,0,6,0 6,0,0 10,0.18%,0.00%,0,14.42,14.53,14.42,14.44,0.02,0.14%,18,261,0
87,107/03/08,0,42,0,6,0 9,0,0 2,0.18%,0.00%,0,14.21,14.5,14.21,14.42,0.21,1.48%,64,924,0
88,107/03/07,0,13,0,6,0 7,0,0 10,0.17%,0.00%,0,14.07,14.3,14.07,14.21,0.13,0.92%,28,397,0
89,107/03/06,0,28,0,6,0 2,0,0 5,0.17%,0.00%,0,14.0,14.11,14.0,14.08,0.08,0.57%,60,844,0
90,107/03/05,0,-23,0,6,0 1,0,0 10,0.17%,0.00%,0,14.16,14.16,14.0,14.0,-0.16,-1.13%,54,759,0
91,107/03/01,0,-9,0,6,0 7,0,0 0,0.17%,0.00%,0,14.36,14.36,14.25,14.3,-0.07,-0.49%,60,858,0
92,107/02/27,0,-5,0,6,0 7,0,0 5,0.17%,0.00%,0,14.42,14.5,14.37,14.37,0.01,0.07%,32,461,0
93,107/02/26,0,84,0,6,1 6,0,0 3,0.17%,0.00%,0,14.34,14.41,14.33,14.36,0.02,0.14%,95,1364,0
94,107/02/23,0,1,0,5,0 3,0,0 8,0.14%,0.00%,0,14.28,14.36,14.27,14.34,0.2,1.41%,18,258,0
95,107/02/22,0,1,0,5,0 0,0,0 8,0.14%,0.00%,0,14.1,14.14,14.09,14.14,0.04,0.28%,19,268,0
96,107/02/21,0,19,0,5,0 8,0,0 7,0.14%,0.00%,0,13.74,14.12,13.74,14.1,0.37,2.69%,38,531,0
97,107/02/12,0,-1,0,5,0 0,0,0 4,0.14%,0.00%,0,13.7,13.75,13.62,13.73,0.03,0.22%,24,329,0
98,107/02/09,0,0,0,5,-1 9,0,0 8,0.14%,0.00%,0,13.03,13.7,13.03,13.7,-0.03,-0.22%,55,740,0
99,107/02/08,0,-28,0,6,0 4,0,0 10,0.17%,0.00%,0,13.84,13.85,13.71,13.73,-0.27,-1.93%,64,882,0
100,107/02/07,0,16,0,6,0 9,0,0 1,0.17%,0.00%,0,13.96,14.18,13.96,14.0,0.45,3.32%,81,1142,0
101,107/02/06,0,8,0,6,0 9,0,0 4,0.17%,0.00%,0,14.47,14.47,13.35,13.55,-0.93,-6.42%,162,2211,0
102,107/02/05,0,13,0,6,-2 5,0,0 8,0.17%,0.00%,0,14.6,14.62,14.4,14.48,-0.33,-2.23%,91,1321,0
103,107/02/02,0,28,0,8,0 1,0,0 6,0.23%,0.00%,0,14.99,14.99,14.81,14.81,-0.07,-0.47%,36,534,0
104,107/02/01,0,52,0,8,0 5,0,0 3,0.24%,0.00%,0,14.9,15.07,14.84,14.88,-0.04,-0.27%,82,1229,0
105,107/01/31,0,-11,0,8,0 7,0,0 5,0.24%,0.00%,0,14.91,14.95,14.75,14.92,0.01,0.07%,84,1250,0
106,107/01/30,0,1,0,8,0 6,0,0 3,0.24%,0.00%,0,14.91,15.03,14.91,14.91,0.0,0.00%,14,209,0
107,107/01/29,0,165,0,8,0 3,0,0 8,0.24%,0.00%,0,14.9,14.93,14.87,14.91,0.13,0.88%,180,2682,0
108,107/01/26,0,58,0,8,0 0,0,0 8,0.24%,0.00%,0,14.9,14.9,14.77,14.78,-0.12,-0.81%,88,1301,0
109,107/01/25,0,84,0,8,0 8,0,0 7,0.24%,0.00%,0,14.97,15.1,14.9,14.9,-0.07,-0.47%,168,2523,0
110,107/01/24,0,14,0,8,0 0,0,0 4,0.24%,0.00%,0,15.0,15.02,14.96,14.97,-0.14,-0.93%,42,629,0
111,107/01/23,0,637,0,8,1 9,0,0 8,0.23%,0.00%,0,15.27,15.27,15.04,15.11,-0.04,-0.26%,728,11075,0
112,107/01/22,0,101,0,7,-1 4,0,0 10,0.20%,0.00%,0,14.98,15.15,14.91,15.15,0.17,1.13%,199,2991,0
113,107/01/19,0,99,0,8,-2 9,0,0 1,0.23%,0.00%,0,15.09,15.09,14.9,14.98,-0.04,-0.27%,151,2264,0
